name,price,size,area,url,monthly_fee,date_sold,rooms,type,price_per_m2,area_price_per_m2
Katarina Ban­gata 65,11200000,115.0, Södermalm,https://www.booli.se/annons/4650909,5940.0,20220819,5.0,Lägenhet,97391.3,105142.0
Klint­backen 8,3750000,64.0, Bromma,https://www.booli.se/annons/4691657,3396.0,20220819,2.5,Lägenhet,58593.75,63108.0
Mäster Davids gränd 38,3400000,107.5, Hässelby Norra Villastad,https://www.booli.se/annons/4733747,5089.0,20220819,4.0,Radhus,31627.91,50064.0
Rindögatan 10,3050000,30.0, Östermalm,https://www.booli.se/bostad/707004,1768.0,20220819,1.0,Lägenhet,101666.67,130278.0
Tidelius­gränd 11,4000000,42.0, Södermalm Katarina,https://www.booli.se/annons/4629684,2702.0,20220819,2.0,Lägenhet,95238.1,104251.0
Gustav III:s väg 11,3450000,55.0, Bromma,https://www.booli.se/bostad/327544,3409.0,20220819,3.0,Lägenhet,62727.27,63108.0
Fridhems­gatan 62,4800000,47.0, Kungsholmen,https://www.booli.se/bostad/143883,2171.0,20220819,2.0,Lägenhet,102127.66,103045.0
Björnsons­gatan 140,2625000,57.0, Bromma,https://www.booli.se/bostad/141991,3000.0,20220819,2.0,Lägenhet,46052.63,63108.0
Skönviks­vägen 288,3500000,72.0, Enskede,https://www.booli.se/annons/4660371,4979.0,20220819,3.0,Lägenhet,48611.11,63364.0
Pilot­gatan 20,3160000,71.0, Skarpnäck,https://www.booli.se/annons/4716830,4482.0,20220819,3.0,Lägenhet,44507.04,40591.0
Möckel­vägen 23,3100000,47.0, Årsta,https://www.booli.se/annons/4727346,2457.0,20220819,2.0,Lägenhet,65957.45,65132.0
Ving­gatan 24,2375000,63.5, Skarpnäck,https://www.booli.se/annons/4715008,4006.0,20220819,2.0,Lägenhet,37401.57,40591.0
Ormbergs­vägen 12,10900000,125.0, Gröndal,https://www.booli.se/annons/4677142,4192.0,20220819,4.0,Lägenhet,87200.0,79551.0
Gumshorns­gatan 9,4700000,43.0, Östermalm,https://www.booli.se/annons/4735106,2222.0,20220819,1.5,Lägenhet,109302.33,130278.0
Kungs­holms Strand 183,3275000,30.0, Kungsholmen,https://www.booli.se/annons/4727810,1847.0,20220819,1.0,Lägenhet,109166.67,103045.0
Haga­gatan 50,9600000,92.0, Vasastan,https://www.booli.se/annons/4703463,5766.0,20220819,4.0,Lägenhet,104347.83,116628.0
Helgdags­vägen 15,2520000,42.5, Hökarängen,https://www.booli.se/annons/4656019,3521.0,20220820,2.0,Lägenhet,59294.12,53177.0
Völunds­gatan 10,3900000,37.0, Vasastan,https://www.booli.se/annons/4639653,2261.0,20220820,1.5,Lägenhet,105405.41,116628.0
Sköndals­vägen 126,2995000,73.0, Sköndal,https://www.booli.se/annons/4723549,3715.0,20220820,3.0,Lägenhet,41027.4,51445.0
